product,amount
APPLE CRUMBLE  DUTCH,4
ASSORTED DANISH,0
BAGELS ASSORTED,57
BANANA FROZEN,0
BEAN GREEN CUT,109.1
BEANS  WHOLE GREEN,137.1
BERRIES FROZEN BLACK,30
BERRIES FROZEN BLUE,91.4
BERRIES FROZEN MIXED,44.3
BERRIES FROZEN STRAWBERRY,56.8
BREAD ASSORTED ARTISAN,0
BREAD BRIOCHE BUN,236
BREAD CIABATTA EURO OVAL,195
BREAD CIABATTA ROLL,584
BREAD CIABATTA ROLL MINI SANDWICH,0
BREAD GLUTEN FREE (HOTDOG),0
BREAD HAMBURGER BUN SEEDED,60
BREAD HOAGIE ROLLS,0
BREAD PARISAN,0
BREAD PITA,6
BROCCOLI CUT,31.9
BROCCOLI FLORETS,70
BROWNIE SARA LEE,55
CARROT DICED,0
CARROT SLICED,0
CHEESE CAKE CARAMEL,0
CHEESE CAKE CHERRY CRUMBLE,0
CHEESE CAKE CHOCOLATE,4.9
CHEESE CAKE COOKIE OREO ,0
CHEESE CAKE GUAVA,0
CHEESE CAKE LEMON KEYLIME,110.2
CHEESE CAKE RASPBERRY,60.9
CHEESE RAVIOLI,187.8
CHICKEN THAI SPRINGROLL,163
CHOCOLATE CHIP TRIPLE,700
COOKIE CHUNK MAC NUTS,0
COOKIES CHOC. CHUNK /DELTA,0
COOKIES MACADAMIA,0
CROISSANT BAKED 1.7OZ,30
CROISSANT DOUGH,0
DOUGH COOKIE,0
JUICE ORANGE PC,2800
MANGO CHUNKS,89.5
MUFFIN BANANA NUT,0
MUFFIN BLUEBERRY,12
ORANGE JUICE 32oz CONCENTRATE,60
PANCAKE ,29
PANCAKE MINI,0
PASTA RAVIOLI SPINACH,0
PEAS GREEN,2
PEPPER HOT,0.22
PLANTAIN FROZEN,35.2
PUREE GUAVA,65
PUREE MANGO,0
PUREE PASSION,23.8
PUREE RASPBERRY,0
PUREE STRAWBERRY,10.8
RASPBERRY FROZEN,0
RAVIOLI MUSHROOM,0
ROLL GLUTEN FREE,18.5
ROLL SOFT SANDWICH,0
SAUCE PESTO,13.4
TIRAMISU,9.4
TOPPING RICHS WHIPPED,0
"TORTILLA FLOUR WRAP 12""",96
TORTILLA TOMATO BASIL,0
TORTILLA WHEAT WRAP,60
TORTILLA WRAP SPINNACH,300
VEGETABLE MIX,0
VEGETABLE SPRINGROLL,192
