product,amount
BUTTER FOIL,0
BUTTER PC,2955
BUTTER PC (Smart Balance),1100
CHEDDAR SHARP PC,0
CHEESE AMERICAN SLICED,36
CHEESE BELGIOIOSO PARMESAN,0.68
CHEESE BLUE,88.8
CHEESE BRIE,6.54
CHEESE CHEDDAR MILD,0
CHEESE CHEDDAR MILD MINI PC,1200
CHEESE CHEDDAR SHARP,10
CHEESE CHEDDAR SHREDDED,20
CHEESE CHEDDER SLICE,4
CHEESE CREAM,3
CHEESE DANISH (NETJET),0
CHEESE FETA,45
CHEESE GOAT,4.92
CHEESE GOUDA LITE,1.02
CHEESE HAVARTI,0
CHEESE MOZZARELLA,0.48
CHEESE MOZZARELLA SHREDDED,35
CHEESE PARMESAN SHREDDED,20
CHEESE PEPPER JACK,0
CHEESE RICOTTA ,1
CHEESE SWISS SLICED .75OZ,4
CHEESE WHEEL BLUE ( ROSE & CROWN),0
CREAM HEAVY,7
CREAM SOUR,2
DRESSING BAL. VINEGARETTE PC,0
DRESSING CAESAR,0
DRESSING CAESAR CREAMY PC,0
DRESSING CAESAR GAL,0
DRESSING GLUTEN FREE PC,0
DRESSING HONEY MUSTARD DIJON GAL.,1.5
DRESSING ITALIAN ,4.5
DRESSING POMEGRANATE PC,1080
DRESSING RANCH GAL,0
DRESSING VINEGAR BALSAMIC GAL,8.25
EGG,240
EGG LIQUID,0
FLAN CARAMEL 16 OZ,0
GUACAMOLE,2
HUMUS,2
JELLY GRAPE,0
JUICE ORANGE 14OZ TROPICANA,50
JUICE ORANGE PT,0
LAUGHING COW CHEESE,0
MARGARINE SOLID ALL VEG,335
MARGARINE ZERO,0
MILK 1 PINT 2%,16
MILK 1/2 PT,15
MILK HALF & HALF 1 PT,2
MILK HALF & HALF NON DAIRY CREAMER,0
MILK HALF & HALF PC,360
MILK HERSHEY,0
MILK WHOLE 1/2 GL,0
MILK WHOLE 1PT,0
MILK WHOLE GAL,0
MOZZARELLA FRESH,3.3
OLIVES KALAMATA,0
PLAIN YOGURT,8
PUDDING RICE,2
SLICED CHEESE (Provolone),0
SUNDRIED TOMATO,15
YOGURT,217
YOGURT GREEK,0
JUICE APPLE 1QT,$2.99 
JUICE CRANBERRY 1QT,$10.49 
JUICE LEMON,$3.39 
JUICE ORANGE MINUTE MAID 11.5 oz,$0.59 
JUICE TOMATO 12OZ,
KALAMATA PITTED OLIVES,$6.68 
MACKEREL TIN 15OZ,$2.99 
MAYONAISE JAR,$0.43 
MAYONNAISE ,$4.95 
MAYONNAISE GAL,$7.25 
MAYONNAISE PC,$0.05 
MILK 32OZ (SHELF) ASEPTIC 2%,$2.31 
MILK 8OZ (SHELF) ASEPTIC 2%,$0.50 
MILK COCONUT,$1.55 
MILK EVAPORATED,$0.86 
MILO,$5.59 
MORSEL WHITE,$3.99 
MUSHROOM STEMS & PIECES,$5.22 
MUSTARD 9OZ,$1.29 
MUSTARD JAR,$0.35 
MUSTARD PC,$0.05 
OATS ,$4.99 
OIL DEEP FRY SHORTENING,$18.33 
OIL OLIVE,$9.03 
OIL SOYBEAN SALAD VEGETABLE,$10.15 
OIL VEGETABLE,$6.16 
OLIVE RIPE SLICED,$6.50 
OLIVE RIPE WHOLE,$5.55 
OLIVES MANZANILLA,$5.55 
ORANGES MANDARINE,$2.73 
OREO PIECES,$2.59 
PAM,$4.99 
PAN AU CHOCOLATE,$0.40 
PASTA BOWTIE,$1.29 
PASTA GNOCCHI,$1.65 
PASTA ORZO ROSA MARINA,$1.08 
PASTA PENNE,$0.66 
PASTA RIGATONI,$0.63 
PASTA ROTINI,$1.19 
PASTA SPAGEHETTINI,$0.61 
PASTE GREEN CURRY,$2.86 
PASTE GUAVA,$2.08 
PEAR HALVES,$1.99 
PECAN PIECES,$4.99 
PESTO IN OLIVE,$11.38 
PIMENTO CAN,$2.78 
PINEAPPLE DICED/CHUNK,$5.15 
PINEAPPLE SLICES 20OZ,$2.09 
PINENUTS,$4.74 
POTATO CHIPS,$0.23 
POTATO CHIPS BBQ,$0.25 
POTATO CHIPS ONION,$0.25 
POTATO CHIPS VINEGAR & SALT,$0.24 
POTATO INSTANT MASHED,$7.56 
POWDER BAKING,$1.61 
POWDER BASIL LEAVES,$5.67 
POWDER BAY LEAVES,$6.00 
POWDER CARIBBEAN JERK SEASONING,$8.18 
POWDER CHILLI,$6.75 
POWDER CINNAMON GROUND,$7.66 
POWDER CURRY,$9.39 
POWDER CURRY RED,$9.39 
POWDER GARLIC,$4.10 
POWDER GELATIN MIX,$4.25 
POWDER GINGER,$8.81 
POWDER ITALIAN SEASONING,$5.77 
POWDER NUTMEG,$11.01 
POWDER PAPRIKA 16 OZ,$6.71 
