product,amount
CEREAL KELLOGG'S,11
CHERRIES MARASCHINO,1
CHOCOLATE CHIP AHOY,0
CHUTNEY MANGO,51
COCOA POWDER (BAKING),0
COCONUT FLAKES,3.1
COFFEE MAXWELL HOUSE,0
COOKIE OREO,48
CORN BABY,5
CORN STARCH,48
CORN SWEET,3
CORNMEAL,15
COUS COUS 10OZ,3
CRACKERS CARRS ASSORTED,63
CRACKERS CARRS BITESIZE,4190
CRACKERS RICE,0
CRACKERS WHEAT,1200
CRAISINS ,11
CROUTONS PLAIN,0
CUMIN SEASONING 16OZ,3
DARK COAT CHOCOLATE,0
DILL VLASIC KOSHER 16 OZ,3
DRESSING ASIAN SESAME,2
DRESSING BLUE CHEESE 16OZ,2
DRESSING BLUE CHEESE GAL,0
DRESSING CAESAR 16OZ,1
DRESSING CAESAR ROYAL PC,172
DRESSING GREEK 16OZ,0
DRESSING ITALIAN,0
DRESSING ITALIAN 16OZ,0
DRESSING ITALIAN PC,100
DRESSING RANCH ,1
FIGS DRIED,0
FILLING APPLE,2
FILLING CHERRY,0
FILLING STRAWBERRY,0
FISH TUNA ,0
FISH TUNA 12OZ,5
FLOUR ALL PURPOSE,35
GRAVY BROWN .87,10
GRAVY CHICKEN .87OZ,0
GRAVY MIX BISTO,0
HONEY PURE,27
HORSERADISH,4
JAM GRAPE,2
JAM STRAWBERRY PC,7200
JUICE APPLE 1QT,4
JUICE CRANBERRY 1QT,0
JUICE LEMON,2
JUICE ORANGE MINUTE MAID 11.5 oz,779
JUICE TOMATO 12OZ,0
KALAMATA PITTED OLIVES,6
MACKEREL TIN 15OZ,0
MAYONAISE JAR,257
MAYONNAISE ,2
MAYONNAISE GAL,1
MAYONNAISE PC,3685
MILK 32OZ (SHELF) ASEPTIC 2%,151
MILK 8OZ (SHELF) ASEPTIC 2%,648
MILK COCONUT,100
MILK EVAPORATED,4
MILO,2
MORSEL WHITE,0
MUSHROOM STEMS & PIECES,0
MUSTARD 9OZ,1
MUSTARD JAR,187
MUSTARD PC,4626
OATS,1
OIL DEEP FRY SHORTENING,0
OIL OLIVE,3
OIL SOYBEAN SALAD VEGETABLE,0
OIL VEGETABLE,15
OLIVE RIPE SLICED,9
OLIVE RIPE WHOLE,13
OLIVES MANZANILLA,4
ORANGES MANDARINE,2
OREO PIECES,0
PAM,4
PAN AU CHOCOLATE,0
PASTA BOWTIE,12
PASTA GNOCCHI,0
PASTA ORZO ROSA MARINA,1
PASTA PENNE,51
PASTA RIGATONI,108
PASTA ROTINI,0
PASTA SPAGEHETTINI,69
PASTE GREEN CURRY,7
PASTE GUAVA,144
PEAR HALVES,3
PECAN PIECES,0
PESTO IN OLIVE,0
PIMENTO CAN,0
PINEAPPLE DICED/CHUNK,5
PINEAPPLE SLICES 20OZ,3
PINENUTS,0
POTATO CHIPS,83
POTATO CHIPS  ONION,0
POTATO CHIPS BBQ,0
POTATO CHIPS VINEGAR & SALT,0
POTATO INSTANT MASHED,3
POWDER BAKING,80
POWDER BASIL LEAVES,0
POWDER BAY LEAVES,0
POWDER CARIBBEAN JERK SEASONING,9
POWDER CHILLI,2
POWDER CINNAMON GROUND,35
POWDER CURRY,2
POWDER CURRY RED,0
POWDER GARLIC,0
POWDER GELATIN MIX,0
POWDER GINGER,17
POWDER ITALIAN SEASONING,4
POWDER NUTMEG,0
POWDER PAPRIKA 16 OZ,11
POWDER PEPPER WHITE GROUND,0
POWDER RED PEPPER ROASTED #10,31
POWDER SEAFOOD SEASONING CRUSHED,2
POWDER TUMERIC GROUND,10
QUINOA,3
RAISIN ,33
RAISIN PC,163.3
RICE BARS,27
RICE BASMATI,11
RICE JASMINE,35
RICE LONG GRAIN,50
RICE NOODLES 1LB,2
SALSA TOSTITOS,7
SALT IODIZED,112
SAUCE BBQ GAL,7.5
SAUCE COCKTAIL 8OZ,4
SAUCE CRANBERRY,11
SAUCE HONEY MUSTARD GAL.,0
SAUCE LEMON BUTTER,6
SAUCE SOY GAL,0
SAUCE SWEET CHILLI,5
SAUCE TOBASCO PC,5
SAUSAGE VIENNA,48
SNACK GRANOLA CRANBERRY,0
SNACK GRANOLA OATS & HONEY,3240
SODA,480
SUGAR BROWN,153
SUGAR FONDANT,65
SUGAR GRANULATED,176
SWEET GHERKINS,14
SYRUP BREAKFAST PC,112
SYRUP CARAMEL HERSHEY 22OZ,0
SYRUP CHOCOLATE HERSHEYS,0
SYRUP STRAWBERRY,0
TANDORI PASTE,1
TEA ASSORTED,0
TEA GINGER,0
TEA MINT,28
TOMATO DICED CAN,0
TOMATO KETCHUP,20
TOMATO KETCHUP PC,800
TOMATO PASTE,1
TOMATO SAUCE CAN,0
TOMATO SUNDRIED 32 OZ,0
TUNA 665OZ,0
VANILLA EXTRACT,3
VINEGAR WHITE,9
WALNUT HALVES & PIECES,0
WATER 1.5OZ (DASANI),204
WATER 1LT (DASANI),656
WATER 330 ML,17
WATER 500 ML,0
WATER CRYSTAL GEYSER 1.5L,17
WATER CRYSTAL GEYSER 1L,0
WATER FIJI 1L,7
WATER PERRIER 23 OZ,0
WATER PERRIER LIME 11.5 OZ,10
WINE COOKING,2
JUICE ORANGE MINUTE MAID QT,259
