product,amount
BOWLS LARGE,376
BOWLS MEDIUM,636
BOWLS SMALL,144
BOX DINNER,132
BOX SNACK,2300
CONTAINER PORTION  YOSHI 3OZ,230
CONTAINER PORTION YOSHI 2X1.75,380
CONTAINER PORTION YOSHI 5.1OZ,620
CONTAINER PORTION YOSHI 6.8OZ,540
CONTAINER STONEWARE,5771
CUPS 4OZ,5750
CUPS SOUFFLE 1 OZ,2500
CUPS SOUFFLE 2 OZ,20000
CUPS SOUFFLE LIDS 1 OZ,2500
CUPS SOUFFLE LIDS 2OZ,20000
CUPS UTILITY,0
DOILY 10' ROUND,10870
DOILY 12' ROUND,4000
DOILY 5' ROUND,10000
FOIL ALUMINIUM 12X 2000,0
FOIL ALUMINIUM 12X1000 STANDARD,6
FOIL ALUMINIUM 18X 2000,0
FOIL ALUMINIUM 18X1000,0
LABELS DATE,4
LIDS 4 OZ ,2375
LIDS CUBE NOTION DOME,1300
LIDS LARGE NOTION DOME,1500
LIDS MEDIUM NOTION DOME,1100
LIDS TALL NOTION DOME,1800
NETJETS TRAYS SQUARE,0
OCTAVIEW CONTAINER 6in,115
OCTAVIEW CONTAINER 7in,100
OCTAVIEW CONTAINER 9IN,30
PANLINER SHEET,6910
PAPER WYPALL,10050
POLY BUN RACK COVER,0
STIR BA SUGAR PACKS,1250
TRAYS SERVING LARGE,0
TRAYS SERVING MEDIUM,36
TRAYS SERVING SMALL,0
WRAP FILM 12X2000,0
WRAP FILM 18X2000,2
WRAP GOLD FOIL SHEET,276
WRAP SILVER FOIL SHEET,17
GLASSES CHAMPAGNE,6
GLASSES WINE,4
SPOONS WHITE,10000
PLATTERS MEDIUM,36
