product,amount
CHICKEN WINGS (JUMBO),0
CRAB CLAW,8.7
CRAB MEAT SNOW,18.7
FISH SALTED,12.5
GOAT MEAT,0
HAM PROSCIUTTO,78
HAM SLICED,0
HAM SMOKED,38
LAMB STEW,0
LOBSTER TAIL,83.7
MAHI MAHI,63.5
OXTAIL,10
PATTY BEEF,1.8
PORK SLICED,0
PORK TENDERLOIN,19.8
SALMON,22.05
SALMON GRAVALAX,3.6
SALMON SMOKED,112.3
SAUSAGE PORK,0
SHRIMP 16-20,43.8
SHRIMP 21-25,40
SHRIMP 31-40,0
SNAPPER FILLET,43
STAFF FISH,27
TROUT FILLET,80
TURKEY SAUSAGE,1.92
TURKEY SLICED,18
TURKEY WHOLE (STAFF),24.4
WHOLE ROAST BEEF,11
WINGS HOT & SPICY,0
